Time,Memory_Pressure,CPU_Pressure,Swap_Activity,Compression_Ratio,Node0_Free,Node1_Free,NUMA_Miss_Rate,Algorithm,Compression_Ratio_Node0,Compression_Ratio_Node1
2026-03-10 22:17:05.994549,0.0,70.3,False,1.5359004915834946,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:17:13.005419,1.08,100.0,False,2.0064022296724158,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:17:20.022650,26.45,99.5,False,1.9242858013035269,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:17:27.039902,23.31,99.5,False,1.8876726609330206,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:17:34.055614,27.52,100.0,False,2.0365869341563787,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:17:41.075722,26.7,98.1,False,2.043256264025859,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:17:48.094216,23.77,98.4,False,1.954105280582685,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:17:55.111134,30.96,100.0,False,2.0449994943877035,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:18:02.123171,20.7,99.4,False,2.0365714285714285,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:18:09.139593,36.95,100.0,False,2.071067126416193,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:18:16.161657,33.64,100.0,False,1.8314359162688212,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:18:23.177124,16.66,100.0,False,2.008929532006455,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:18:30.196051,32.58,100.0,False,2.0795389479449327,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:18:37.207976,25.76,100.0,False,2.0872217313228627,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:18:44.221702,37.21,100.0,False,2.063869043787947,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:18:51.236024,45.19,99.5,False,2.0715070028011207,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:18:58.256052,34.06,100.0,False,2.088675302966987,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:19:05.291878,41.16,100.0,False,2.0597144551770885,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:19:12.307921,33.45,100.0,False,1.7522882464041842,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:19:19.317524,15.33,65.7,False,1.750112157918349,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:19:26.339578,8.42,2.0,False,1.7475143115396203,0,0,0.0,lzo,1.0,1.0
2026-03-10 22:19:33.350099,3.78,13.0,False,1.7498432601880878,0,0,0.0,lzo,1.0,1.0
